"","Base","Location","State","Coordinates","Major Command","Lat","Long"
"93","Rickenbacker International Airport","Columbus, Ohio","OH","39°48′49″N 082°56′48″W","ANG",39.8136111111111,-82.9466666666667
"94","Wright-Patterson Air Force Base","Dayton","OH","39°49′23″N 084°02′58″W","AFMC",39.8230555555556,-84.0494444444444
"95","Springfield-Beckley Municipal Airport","Springfield, Ohio","OH","39°50′25″N 083°50′25″W","ANG",39.8402777777778,-83.8402777777778
"96","Abraham Lincoln Capital Airport","Springfield, Illinois","IL","39°50′39″N 089°40′41″W","ANG",39.8441666666667,-89.6780555555556
"97","Joint Base McGuire-Dix-Lakehurst","Trenton","NJ","40°01′09″N 074°31′22″W","AMC",40.0191666666667,-74.5227777777778
"98","Beightler Armory","Columbus, Ohio","OH","40°05′18″N 083°04′01″W","ANG",40.0883333333333,-83.0669444444444
"99","Harrisburg International Airport","Middletown, Pennsylvania","PA","40°11′37″N 076°45′48″W","ANG",40.1936111111111,-76.7633333333333
"100","Naval Air Station Joint Reserve Base Willow Grove","Horsham Township, Pennsylvania","PA","40°11′59″N 075°08′53″W","ANG",40.1997222222222,-75.1480555555556
"101","Pittsburgh International Airport","Pittsburgh, Pennsylvania","PA","40°29′40.49″N 080°12′55.71″W","AFRC",40.4944444444445,-80.2152777777778
"102","Grissom Joint Air Reserve Base","Kokomo, Indiana","IN","40°38′53″N 086°09′08″W","AFRC",40.6480555555556,-86.1522222222222
"103","General Wayne A. Downing Peoria International Airport","Peoria, Illinois","IL","40°39′38″N 089°41′44″W","ANG",40.6605555555556,-89.6955555555556
"104","Salt Lake City International Airport","Salt Lake City, Utah","UT","40°47′18″N 111°58′40″W","ANG",40.7883333333333,-111.977777777778
"105","Mansfield Lahm Regional Airport","Mansfield, Ohio","OH","40°48′49″N 82°31′00″W","ANG",40.8136111111111,-82.5166666666667
"106","Francis S. Gabreski Airport","Westhampton Beach, New York","NY","40°50′13″N 072°38′32″W","ANG",40.8369444444445,-72.6422222222222
"107","Lincoln Airport","Lincoln, Nebraska","NE","40°51′04″N 096°45′33″W","ANG",40.8511111111111,-96.7591666666667
"108","Fort Wayne International Airport","Fort Wayne, Indiana","IN","40°58′42″N 085°11′42″W","ANG",40.9783333333333,-85.195
"109","Offutt Air Force Base","Bellevue","NE","41°07′10″N 095°54′31″W","ACC",41.1194444444445,-95.9086111111111
"110","Hill Air Force Base","Ogden","UT","41°07′26″N 111°58′22″W","AFMC",41.1238888888889,-111.972777777778
"111","Francis E. Warren Air Force Base","Cheyenne","WY","41°07′59″N 104°52′01″W","AFGSC",41.1330555555556,-104.866944444444
"112","Cheyenne Regional Airport","Cheyenne, Wyoming","WY","41°09′41″N 104°49′10″W","ANG",41.1613888888889,-104.819444444444
"113","Youngstown-Warren Regional Airport","Youngstown, Ohio","OH","41°15′38.64″N 80°40′44.74″W","AFRC",41.2605555555556,-80.6788888888889
"114","Stewart International Airport","Newburgh, New York","NY","41°30′15″N 74°06′17″W","ANG",41.5041666666667,-74.1047222222222
"115","Des Moines International Airport","Des Moines, Iowa","IA","41°32′18″N 093°39′34″W","ANG",41.5383333333333,-93.6594444444444
"116","Toledo Express Airport","Toledo, Ohio","OH","41°35′12.5″N 83°48′28.2″W","ANG",41.5866666666667,-83.8077777777778
"117","Quonset State Airport","North Kingstown, Rhode Island","RI","41°35′50″N 071°24′44″W","ANG",41.5972222222222,-71.4122222222222
"118","Otis Air National Guard Base","Mashpee, Massachusetts","MA","41°39′31″N 070°31′17″W","ANG",41.6586111111111,-70.5213888888889
"119","Cape Cod Air Force Station","Bourne","MA","41°45′12″N 70°32′19″W","USSF",41.7533333333333,-70.5386111111111
"120","Bradley International Airport","Windsor Locks, Connecticut","CT","41°56′20″N 72°41′0″W","ANG",41.9388888888889,-72.6833333333333
"121","Klamath Falls Airport","Klamath Falls, Oregon","OR","42°09′22″N 121°43′59″W","ANG",42.1561111111111,-121.733055555556
"122","Barnes Municipal Airport","Westfield, Massachusetts","MA","42°09′56″N 072°43′14″W","ANG",42.1655555555556,-72.7205555555556
"123","Westover Air Reserve Base","Chicopee, Massachusetts","MA","42°11′38″N 072°32′05″W","AFRC",42.1938888888889,-72.5347222222222
"124","W. K. Kellogg Airport","Battle Creek, Michigan","MI","42°18′26.2″N 85°15′05.3″W","ANG",42.3072222222222,-85.2513888888889
"125","Sioux Gateway Airport","Sioux City, Iowa","IA","42°23′54″N 096°22′19″W","ANG",42.3983333333333,-96.3719444444444
"126","Hanscom Air Force Base","Lincoln","MA","42°28′12″N 071°17′21″W","AFMC",42.47,-71.2891666666667
"127","Selfridge Air National Guard Base","Mount Clemens, Michigan","MI","42°36′30″N 082°50′08″W","ANG",42.6083333333333,-82.8355555555556
"128","Schenectady County Airport","Schenectady, New York","NY","42°51′09″N 073°55′21″W","ANG",42.8525,-73.9225
"129","New Boston Air Force Station","Manchester","NH","42°56′32.46″N 71°38′9.94″W","USSF",42.9422222222222,-71.6358333333333
"130","Milwaukee Mitchell International Airport","Milwaukee, Wisconsin","WI","42°56′50″N 087°53′48″W","ANG",42.9472222222222,-87.8966666666667
"131","Mountain Home Air Force Base","Mountain Home","ID","43°02′37″N 115°52′21″W","ACC",43.0436111111111,-115.8725
"132","Pease Air National Guard Base","Portsmouth, New Hampshire","NH","43°04′41″N 070°49′24″W","ANG",43.0780555555556,-70.8233333333333
"133","Syracuse Hancock International Airport","Syracuse, New York","NY","43°06′41″N 076°07′25″W","ANG",43.1113888888889,-76.1236111111111
"134","Niagara Falls International Airport","Niagara Falls, New York","NY","43°06′48″N 078°56′51″W","AFRC",43.1133333333333,-78.9475
"135","Dane County Regional Airport","Madison, Wisconsin","WI","43°08′23″N 089°20′15″W","ANG",43.1397222222222,-89.3375
