Wing,Group,Unit,Location,CONUS/OCONUS,Base,State
70 ISRW,707 ISRG ,707 FSS,"FT MEADE, MD",CONUS,FT MEADE,MD
688 CW,26 COG,688 NWS OL D,"FT MEADE, MD",CONUS,FT MEADE,MD
16 AF,HQ,DET 1 ,"FT MEADE, MD",CONUS,FT MEADE,MD
16 AF,HQ,OL A ,"FT MEADE, MD",CONUS,FT MEADE,MD
16 AF,HQ,OL C,"FT MEADE, MD",CONUS,FT MEADE,MD
70 ISRW,543 ISRG,93 IS OL FO,"GOODFELLOW AFB, TX",CONUS,GOODFELLOW AFB,TX
319 RW,HQ,HQ,"GRAND FORKS AFB, ND",CONUS,GRAND FORKS AFB,ND
319 RW,HQ,319 CPTS ,"GRAND FORKS AFB, ND",CONUS,GRAND FORKS AFB,ND
319 RW,319 MDG,GR HQ,"GRAND FORKS AFB, ND",CONUS,GRAND FORKS AFB,ND
319 RW,319 MDG,319 HCOS,"GRAND FORKS AFB, ND",CONUS,GRAND FORKS AFB,ND
319 RW,319 MDG,319 ORMS,"GRAND FORKS AFB, ND",CONUS,GRAND FORKS AFB,ND
319 RW,319 MSG,GR HQ,"GRAND FORKS AFB, ND",CONUS,GRAND FORKS AFB,ND
319 RW,319 MSG,319 CES,"GRAND FORKS AFB, ND",CONUS,GRAND FORKS AFB,ND
319 RW,319 MSG,319 CS,"GRAND FORKS AFB, ND",CONUS,GRAND FORKS AFB,ND
319 RW,319 MSG,319 CON FLT,"GRAND FORKS AFB, ND",CONUS,GRAND FORKS AFB,ND
319 RW,319 MSG,319 FSS,"GRAND FORKS AFB, ND",CONUS,GRAND FORKS AFB,ND
319 RW,319 MSG,319 LRS,"GRAND FORKS AFB, ND",CONUS,GRAND FORKS AFB,ND
319 RW,319 MSG,319 SFS,"GRAND FORKS AFB, ND",CONUS,GRAND FORKS AFB,ND
319 RW,319 OG,GR HQ,"GRAND FORKS AFB, ND",CONUS,GRAND FORKS AFB,ND
319 RW,319 OG,DET 2 OL A,"GRAND FORKS AFB, ND",CONUS,GRAND FORKS AFB,ND
319 RW,319 OG,319 AMXS ,"GRAND FORKS AFB, ND",CONUS,GRAND FORKS AFB,ND
319 RW,319 OG,319 OSS,"GRAND FORKS AFB, ND",CONUS,GRAND FORKS AFB,ND
319 RW,319 OG,348 RS,"GRAND FORKS AFB, ND",CONUS,GRAND FORKS AFB,ND
363 ISRG,361 ISRG,OL E ,"GREENVILLE CITY, TX",CONUS,GREENVILLE CITY,TX
557 WW,2 WXG,2 WS DET 2,"HAMILTON CITY, MA",CONUS,HAMILTON CITY,MA
70 ISRW,659 ISRG ,7 IS OL HN,"HERDON, VA",CONUS,HERDON,VA
557 WW,2 WXG,2 WS DET 4,"HOLLOMAN AFB, NM",CONUS,HOLLOMAN AFB,NM
67 CW,318 COG,39 IOS ,"HURBLURT FIIELD, FL",CONUS,HURBLURT FIIELD,FL
363 ISRG,HQ,HQ,"HURBLURT FIIELD, FL",CONUS,HURBLURT FIIELD,FL
363 ISRG,361 ISRG,GR HQ,"HURBLURT FIIELD, FL",CONUS,HURBLURT FIIELD,FL
363 ISRG,361 ISRG,OL A ,"HURBLURT FIIELD, FL",CONUS,HURBLURT FIIELD,FL
363 ISRG,361 ISRG,25 IS,"HURBLURT FIIELD, FL",CONUS,HURBLURT FIIELD,FL
363 ISRG,361 ISRG,306 IS OL H,"HURBLURT FIIELD, FL",CONUS,HURBLURT FIIELD,FL
557 WW,2 WXG,2 CWSS ,"HURBLURT FIIELD, FL",CONUS,HURBLURT FIIELD,FL
688 CW,26 COG,688 NWS OL C,"HURLBURT FIELD, FL",CONUS,HURLBURT FIELD,FL
688 CW,690 COG,83 NOS OL B ,"JB ANDREWS AFB, MD",CONUS,JB ANDREWS AFB,MD
