Address,State,COUNTRY,Latitude,Longitude,City,State,County,Zip
NAVOBSSTA Flagstaff AZ,Arizona,United States,35.287661,-111.639303,Flagstaff,AZ,Coconino County,86001
Target 101 Shade Tree,California,United States,0,0,,,,
ALF Cabaniss,Texas,United States,0,0,,,,
ALF Waldron,Texas,United States,0,0,,,,
NALF Goliad,Texas,United States,28.664092,-97.460854,Goliad,TX,Goliad County,77963
NAS Fallon NV,Nevada,United States,39.479393,-118.296879,Fallon,NV,Churchill County,89406
Target B-16,Nevada,United States,39.331093,-116.615147,,NV,,
Target B-17,Nevada,United States,39.331093,-116.615147,,NV,,
Target B-20,Nevada,United States,39.331093,-116.615147,,NV,,
OLF Whitehouse,Florida,United States,30.31635,-81.846215,Whitehouse,FL,Duval County,32220
Vieques West PR,Puerto Rico,Puerto Rico,0,0,,,,
NAS JRB New Orleans LA,Louisiana,United States,0,0,,,,
NAS Key West FL,Florida,United States,24.557053,-81.780989,Key West,FL,Monroe County,33040
Dredgers Key-Sigsbee,Florida,United States,0,0,,,,
Naval Hospital,Florida,United States,28.45743,-82.409148,,FL,,
Truman Annex,Florida,United States,0,0,,,,
Trumbo Point Annex,Florida,United States,0,0,,,,
Sewage Evaporation Pond,California,United States,40.467923,-123.168637,Peanut,CA,Trinity County,96041
NAS Whiting Field Milton FL,Florida,United States,30.792885,-86.985834,Milton,FL,Santa Rosa County,32570
Barin Field,Alabama,United States,32.671798,-86.025021,Floyd,AL,Elmore County,36024
NOLF Brewton,Alabama,United States,31.129427,-87.096126,Brewton,AL,Escambia County,36426
NOLF Evergreen,Alabama,United States,31.489241,-87.052004,Evergreen,AL,Conecuh County,36401
NOLF Holley,Florida,United States,30.347061,-87.113185,Holley,FL,Santa Rosa County,32561
NOLF Santa Rosa,Florida,United States,30.25218,-82.27289,Sanderson,FL,Baker County,32087
NOLF Silverhill,Alabama,United States,30.527068,-87.735,Silverhill,AL,Baldwin County,36576
NOLF Spencer,Florida,United States,0,0,,,,
NOLF Summerdale,Alabama,United States,30.4877,-87.69971,Summerdale,AL,Baldwin County,36580
NOLF Wolf,Alabama,United States,0,0,,,,
Naval Support Activity Orlando,Florida,United States,28.545179,-81.373291,Orlando,FL,Orange County,32801
NOTU Cape Canaveral,Florida,United States,28.394642,-80.614323,Cape Canaveral,FL,Brevard County,32920
NMIC Suitland,Maryland,United States,38.834912,-76.912745,Suitland,MD,Prince George's County,20746
NAVBASE Coronado,California,United States,32.699235,-117.209642,Coronado,CA,San Diego County,92118
Amphib Base Coronado East,California,United States,32.699235,-117.209642,Coronado,CA,San Diego County,92118
Amphib Base Coronado West,California,United States,32.699235,-117.209642,Coronado,CA,San Diego County,92118
Camp Michael Monsoor,California,United States,0,0,,,,
Camp Morena,California,United States,33.917517,-117.157813,Moreno,CA,Riverside County,92360
San Clemente IS NALF,California,United States,33.42362,-117.606843,San Clemente,CA,Orange County,92672
Warner Springs Rts,California,United States,33.28226,-116.63363,Warner Springs,CA,San Diego County,92086
Agana,Guam,Guam,13.438296,144.77295,,GU,,
Dandan,Guam,Guam,13.438296,144.77295,,GU,,
Finegayan South,Guam,Guam,0,0,,,,
Harmon,Guam,Guam,0,0,,,,
Marbo,Guam,Guam,0,0,,,,
Naval Hospital,Guam,Guam,13.438296,144.77295,,GU,,
Tanguisson Point,Guam,Guam,0,0,,,,
NAVBASE Point Loma,California,United States,39.220724,-121.641635,Lomo,CA,Sutter County,95953
Harbor Drive,California,United States,0,0,,,,
Old Town Site 1,California,United States,0,0,,,,
SPAWARS South,California,United States,0,0,,,,
NAVBASE San Diego CA,California,United States,32.724103,-117.170912,San Diego,CA,San Diego County,92101
Balboa Hospital,California,United States,37.155177,-119.543418,,CA,,
Broadway Complex,California,United States,0,0,,,,
Dryside,California,United States,35.187133,-117.885359,California City,CA,Kern County,93504
Mission Gorge Rec Area,California,United States,0,0,,,,
National City,California,United States,32.671194,-117.084353,National City,CA,San Diego County,91950
NAVBASE Ventura Cty Point Mugu CA,California,United States,33.247969,-119.506102,Point Mugu Nawc,CA,Ventura County,93042
Port Hueneme,California,United States,34.106896,-119.099535,Port Hueneme,CA,Ventura County,93041
San Nicolas Island,California,United States,40.026261,-123.490301,Island Mountain,CA,Trinity County,95440
Santa Cruz Island,California,United States,37.052748,-122.111126,Santa Cruz,CA,Santa Cruz County,95060
NAVSUPPFAC Beaufort SC,South Carolina,United States,32.424353,-80.565343,Beaufort,SC,Beaufort County,29901
NAVSUPPACT Annapolis,Maryland,United States,38.98775,-76.5528,Annapolis,MD,Anne Arundel County,21401
Chesapeake Bay Detach,Maryland,United States,0,0,,,,
Gambrills,Maryland,United States,39.06705,-76.66524,Gambrills,MD,Anne Arundel County,21054
NAVACAD North Severn,Maryland,United States,39.1328,-76.69253,Severn,MD,Anne Arundel County,21144
Upper Yard Annapolis,Maryland,United States,38.98775,-76.5528,Annapolis,MD,Anne Arundel County,21401
NAVSUPPACT Monterey CA,California,United States,36.57485,-121.840727,Monterey,CA,Monterey County,93940
NAVPMOSSP Magna Utah,Utah,United States,40.699401,-112.088875,Magna,UT,Salt Lake County,84044
NAVPMOSSP Mtn View,California,United States,0,0,,,,
Navy Annex,California,United States,33.80644,-117.13731,Nuevo,CA,Riverside County,92567
NAVWPNSTA Seal Beach,California,United States,33.74141,-118.10479,Seal Beach,CA,Orange County,90740
Long Beach Fuel Complex,California,United States,33.804309,-118.200957,Long Beach,CA,Los Angeles County,90801
Norco,California,United States,33.752886,-116.055617,Norco,CA,Riverside County,91760
NAWS China Lake,California,United States,38.25047,-121.509397,Locke,CA,Sacramento County,95690
NSA Andersen,Guam,Guam,13.562134,144.926373,Andersen Air Force Base,GU,Guam,96910
Potts Tank Farm,Guam,Guam,0,0,,,,
Santa Rosa Parcel B,Guam,Guam,0,0,,,,
Tumon Tank Farm,Guam,Guam,0,0,,,,
Tumon,Guam,Guam,0,0,,,,
NSF Indian Head,Maryland,United States,38.60512,-77.17554,Indian Head,MD,Charles County,20640
Pumpkin Neck,Virginia,United States,37.227619,-81.008418,Pumpkin Center,VA,Bland County,24315
Stump Neck Area,Maryland,United States,38.946658,-76.674494,,MD,,
Grand Forks Defense Fuel Support Point,North Dakota,United States,0,0,,,,
Ramey AF Solar Observatory Research Site,Puerto Rico,Puerto Rico,0,0,,,,
George AFB,California,United States,0,0,,,,
Verona Defense Fuel Support Point,New York,United States,0,0,,,,
Rome Laboratory,New York,United States,0,0,,,,
Brooks AFB,Texas,United States,30.936006,-97.934579,Briggs,TX,Burnet County,78608
Tulelake Radar Site,California,United States,41.93519,-121.58865,Tulelake,CA,Siskiyou County,96134
Jonathan Dickinson Tracking Annex,Florida,United States,0,0,,,,
Dania Beach (Lauderdale),Florida,United States,26.052311,-80.143934,Dania Beach,FL,Broward County,33004
Finegayan,Guam,Guam,13.438296,144.77295,,GU,,
Bridgeport,California,United States,38.248505,-119.19876,Bridgeport,CA,Mono County,93517
Haarp Research Station,Alaska,United States,63.346191,-152.837069,,AK,,
Kingsley Field Cantonement Site 1,Oregon,United States,0,0,,,,
Tooele Army Depot,Utah,United States,40.53078,-112.29828,Tooele,UT,Tooele County,84074
Umatilla Chemical Depot,Oregon,United States,45.91735,-119.34252,Umatilla,OR,Umatilla County,97882
CSO NAS Alameda,California,United States,37.770563,-122.264779,Alameda,CA,Alameda County,94501
NAS JRB NOLA,Louisiana,United States,0,0,,,,
Fort Carson Weapons Range,Colorado,United States,0,0,,,,
Stratford Army Engine Plant,Connecticut,United States,0,0,,,,
US Army Soldier Systems Center Natick,Massachusetts,United States,42.28343,-71.3495,Natick,MA,Middlesex County,1760
Pohakuloa Training Area,Hawaii,United States,19.828171,-155.49504,,HI,,
Fort Gillem,Georgia,United States,0,0,,,,
Utah Test and Training Range South UT,Utah,United States,0,0,,,,
Air Force Plant 42,California,United States,37.289085,-120.317156,Planada,CA,Merced County,95365
CSO Hunters Point Annex,California,United States,0,0,,,,
Air Force Plant 44,Arizona,United States,0,0,,,,
Air Force Plant 4,Texas,United States,0,0,,,,
Air Force Plant 6,Georgia,United States,0,0,,,,
USAF Expeditionary Center,New Jersey,United States,0,0,,,,
Chanute AFB,Illinois,United States,0,0,,,,
DFAS Annex,Maine,United States,45.409279,-68.666598,,ME,,
CSO NAS South Weymouth,Massachusetts,United States,42.20794,-70.95514,Weymouth,MA,Norfolk County,2188
Pico Del Este - AFWTF,Puerto Rico,Puerto Rico,0,0,,,,
Pineros Island,Puerto Rico,Puerto Rico,0,0,,,,
NAS Brunswick ME,Maine,United States,43.91172,-69.9405,Brunswick,ME,Cumberland County,4011
NAS JRB Willow Grove PA,Pennsylvania,United States,40.157452,-75.124753,Willow Grove,PA,Montgomery County,19090
NSA South Potomac,Virginia,United States,0,0,,,,
NSGA Sabana Seca PR,Puerto Rico,Puerto Rico,0,0,,,,
Fleming Key Magazine,Florida,United States,0,0,,,,
Fort Allen Puerto Rico,Puerto Rico,Puerto Rico,0,0,,,,
NOLF Choctaw,Florida,United States,30.367422,-86.106051,Choctaw,FL,Walton County,32454
NAS Fort Worth JRB TX,Texas,United States,32.767044,-97.303032,Fort Worth,TX,Tarrant County,76111
Kalaeloa,Hawaii,United States,20.24232,-155.83323,Hawi,HI,Hawaii County,96719
Waikele,Hawaii,United States,19.873144,-155.79636,Waikoloa,HI,Hawaii County,96738
Hickam Petrol Strg Ann,Hawaii,United States,0,0,,,,
Det Concord (BRAC),California,United States,37.953672,-122.022872,Concord,CA,Contra Costa County,94518
CSO NSY Long Beach Ca,California,United States,33.804309,-118.200957,Long Beach,CA,Los Angeles County,90801
CSO NS Treasure Island,California,United States,0,0,,,,
CSO NSY Mare Island,California,United States,40.026261,-123.490301,Island Mountain,CA,Trinity County,95440
Norwalk Fuel Complex,California,United States,33.906763,-118.076549,Norwalk,CA,Los Angeles County,90650
Site 3 NS Long Beach,California,United States,33.804309,-118.200957,Long Beach,CA,Los Angeles County,90801
Tiyan,Guam,Guam,13.438296,144.77295,,GU,,
Cabeza De Perro,Puerto Rico,Puerto Rico,0,0,,,,
NWIRP Bedford MA,Massachusetts,United States,42.49065,-71.27617,Bedford,MA,Middlesex County,1730
Randsburg Wash Area,California,United States,35.38661,-117.715928,Randsburg,CA,Kern County,93554
Talofofo,Guam,Guam,13.444257,144.786297,Talofofo,GU,Guam,96930
Mount Pirata,Puerto Rico,Puerto Rico,0,0,,,,
West Bank,Louisiana,United States,0,0,,,,
Mark Center,Virginia,United States,38.272028,-77.647788,Margo,VA,Spotsylvania County,22553
