Address,State,COUNTRY,Latitude,Longitude,City,State,County,Zip
NG Duluth NG Armory,Minnesota,United States,47.005566,-92.001934,Duluth,MN,St. Louis County,55801
NG Camp Joseph T Robinson,Arkansas,United States,36.169246,-94.358822,Robinson,AR,Benton County,72761
NG Camp Fogarty Tng Site,Rhode Island,United States,0,0,,,,
NG MTA Camp Crowder Neosho,Missouri,United States,36.904539,-94.372328,Neosho,MO,Newton County,64850
NG Collegeville FMS 4,Pennsylvania,United States,40.18566,-75.45157,Collegeville,PA,Montgomery County,19426
NG Bismarck RJB Complex,North Dakota,United States,46.816035,-100.700296,Bismarck,ND,Burleigh County,58501
NG Camp Niantic,Connecticut,United States,41.323447,-72.215623,Niantic,CT,New London County,6357
NG Camp Hartell,Connecticut,United States,0,0,,,,
NG Stones Ranch Military Res,Connecticut,United States,0,0,,,,
NG Martindale - AASF,Texas,United States,29.839448,-97.850842,Martindale,TX,Caldwell County,78655
NG Orchard Mates Boise,Idaho,United States,43.603768,-116.272921,Boise,ID,Ada County,83701
NG Orchard Combat Training Center,Idaho,United States,0,0,,,,
NG Bend Cotef,Oregon,United States,44.082037,-121.227125,Bend,OR,Deschutes County,97701
NG Biak Training Center COUTES,Oregon,United States,0,0,,,,
NG Camp Dodge Johnston TS,Iowa,United States,41.714435,-93.732559,Johnston,IA,Polk County,50131
NG Camp Minden Training Site,Louisiana,United States,32.725217,-93.312837,Minden,LA,Webster Parish,71055
NG Beightler Armory,Ohio,United States,0,0,,,,
NG Auburn Training Site,Maine,United States,44.087422,-70.243848,Auburn,ME,Androscoggin County,4210
NG Hollis Plains Training Site,Maine,United States,0,0,,,,
NG Buckeye TS,Arizona,United States,33.37032,-112.58378,Buckeye,AZ,Maricopa County,85326
NG Camp Navajo,Arizona,United States,35.124191,-109.538166,Navajo,AZ,Apache County,86509
NG Hollidaysburg Readiness Center,Pennsylvania,United States,40.432059,-78.364965,Hollidaysburg,PA,Blair County,16648
NG Thunderbird Youth Academy,Oklahoma,United States,0,0,,,,
NG Camp Gruber,Oklahoma,United States,33.76955,-96.35415,Kemp,OK,Bryan County,74747
NG Fort Chaffee MTC,Arkansas,United States,0,0,,,,
NG Pelham Range Training Site - Fort McClellan,Alabama,United States,0,0,,,,
NG MTA Camp Clark Nevada,Missouri,United States,37.83921,-94.35467,Nevada,MO,Vernon County,64772
NG Nashville,Tennessee,United States,36.165688,-86.778098,Nashville,TN,Davidson County,37201
NG Oglethorpe Armory,Georgia,United States,32.327479,-84.101472,Oglethorpe,GA,Macon County,31068
NG Carville Gillis Long Center,Louisiana,United States,30.226792,-93.215443,Gillis,LA,Calcasieu Parish,70601
NG Jackson Bks,Louisiana,United States,30.808675,-91.198736,Jackson,LA,East Feliciana Parish,70748
NG Esler Field,Louisiana,United States,29.900262,-89.894926,Violet,LA,St. Bernard Parish,70092
NG Arden Hills Army Training Site,Minnesota,United States,43.525185,-96.358365,Hills,MN,Rock County,56138
NG Bangor Training Site,Maine,United States,44.848517,-68.850405,Bangor,ME,Penobscot County,4401
NG Fort Indiantown Gap,Pennsylvania,United States,40.362359,-76.569599,Fort Indiantown Gap,PA,Lebanon County,17003
NG Springfield AVCRAD (New),Missouri,United States,37.25807,-93.343673,Springfield,MO,Greene County,65801
NG MTA Camp Shelby,Mississippi,United States,33.957757,-90.74504,Shelby,MS,Bolivar County,38774
NG CTA Camp Mccain,Mississippi,United States,0,0,,,,
NG Fort Worth - Shoreview,Texas,United States,32.771419,-97.291484,Fort Worth,TX,Tarrant County,76101
NG Alcantra Armory Complex,Alaska,United States,0,0,,,,
NG Rickenbacker (MTA),Ohio,United States,40.41493,-82.711998,,OH,,
NG RW Shepherd Hope Hull,Alabama,United States,32.206441,-86.380464,Hope Hull,AL,Montgomery County,36043
NG Hammond Airport,Louisiana,United States,30.533587,-90.455381,Hammond,LA,Tangipahoa Parish,70401
NG Camp Beauregard,Louisiana,United States,0,0,,,,
NG MTA Clarks Hill Reservation,South Carolina,United States,33.623057,-82.132655,Clarks Hill,SC,McCormick County,29821
NG Camp Ashland,Nebraska,United States,41.0375,-96.36085,Ashland,NE,Saunders County,68003
NG Greenlief TS/UTES 01,Nebraska,United States,0,0,,,,
NG Bethel ARM FMS,Alaska,United States,60.79222,-161.75583,Bethel,AK,Bethel Census Area,99559
NG Papago Military Reservation,Arizona,United States,0,0,,,,
NG Picacho Aviation TS,Arizona,United States,32.689594,-111.531036,Picacho,AZ,Pinal County,85241
NG Grayling Airfield,Michigan,United States,44.691777,-84.612941,Grayling,MI,Crawford County,49738
NG Santa Fe - Onate Complex TS,New Mexico,United States,0,0,,,,
NG Bergstrom - (Abia),Texas,United States,31.434703,-99.281824,,TX,,
NG Fort Wolters,Texas,United States,0,0,,,,
NG Camp Bowie (State),Texas,United States,33.530011,-97.856849,Bowie,TX,Montague County,76230
NG River Road Training Site,Delaware,United States,0,0,,,,
NG TS BBTS,Delaware,United States,38.998538,-75.441662,,DE,,
NG SMD,Alabama,United States,32.739632,-86.843459,,AL,,
NG General Lucius D Clay National Guard Center,Georgia,United States,34.167895,-84.851983,Center,GA,Bartow County,30120
NG Macon Readiness Center,Georgia,United States,34.167895,-84.851983,Center,GA,Bartow County,30120
NG GUARNG Barrigada Complex,Guam,Guam,13.444257,144.786297,Barrigada,GU,Guam,96913
NG HMO3 (Snake Creek TS),Florida,United States,30.848192,-85.231403,Sink Creek,FL,Jackson County,32446
NG Springfield (TS Cp Lincoln),Illinois,United States,40.162779,-89.398361,Lincoln,IL,Logan County,62656
NG Camp Ripley,Minnesota,United States,0,0,,,,
NG Silver Bell Army Heliport,Arizona,United States,32.383404,-111.500669,Silver Bell,AZ,Pima County,85238
NG Florence Military Reservation,Arizona,United States,32.982354,-111.424943,Florence,AZ,Pinal County,85232
NG Lane County AFRC FMS 5,Oregon,United States,0,0,,,,
NG Camp Villere,Louisiana,United States,0,0,,,,
