Base,City,State,County,Country,Branch,Operational,Lat,Long,Major Command,FIPS
Tooele Army Depot,Tooele,UT,Tooele,United States,Army,Active,40.530699,-112.326213,NA,49045
Camp Mabry,"Austin, Texas",TX,Travis,United States,Air Force,NA,30.31777778,-97.76055556,ANG,48453
CSO NSY Mare Island,Island Mountain,CA,Trinity,United States,Navy,Active,40.026261,-123.490301,NA,6105
San Nicolas Island,Island Mountain,CA,Trinity,United States,Navy,Active,40.026261,-123.490301,NA,6105
Sewage Evaporation Pond,Peanut,CA,Trinity,United States,Navy,Active,40.467923,-123.168637,NA,6105
Ozol Defense Fuel Support Point,Peanut,CA,Trinity,United States,Air Force,Active,40.467923,-123.168637,NA,6105
Youngstown-Warren Regional Airport,Youngstown,OH,Trumbull,United States,Air Force,Reserve,41.26055556,-80.67888889,AFRC,39155
Tulsa International Airport,Tulsa,OK,Tulsa,United States,Air Force,Guard,36.19833333,-95.88805556,ANG,40143
Robins Air Force Base,Warner Robins,GA,Twiggs,United States,Air Force,Active,32.64,-83.59166667,AFMC,13289
Umatilla Chemical Depot,Umatilla,OR,Umatilla,United States,Army,Active,45.917965,-119.287426,NA,41059
NAVBASE Ventura Cty Point Mugu CA,Point Mugu Nawc,CA,Ventura,United States,Navy,Active,33.247969,-119.506102,NA,6111
Port Hueneme,Port Hueneme,CA,Ventura,United States,Navy,Active,34.147368,-119.199754,NA,6111
Channel Islands Air National Guard Station,"Oxnard, California",CA,Ventura,United States,Air Force,Guard,34.115,-119.1102778,ANG,6111
Silver Strand South,Silver Strand,CA,Ventura,United States,Navy,Active,34.152783,-119.218442,NA,6111
NG MTA Camp Clark Nevada,Nevada,MO,Vernon,United States,Army,Guard,37.83921,-94.35467,NA,22115
Terre Haute International Airport,"Terre Haute, Indiana",IN,Vigo,United States,Air Force,NA,39.45138889,-87.3075,ANG,18167
NG Raleigh,Raleigh,NC,Wake,United States,Army,Guard,35.773632,-78.634457,NA,37183
NG Camp Grafton,Grafton,ND,Walsh,United States,Army,Guard,48.368876,-97.437265,NA,38099
NOLF Choctaw,Choctaw,FL,Walton,United States,Navy,Active,30.367422,-86.106051,NA,13297
Minot Air Force Base,Minot,ND,Ward,United States,Air Force,Active,48.41583333,-101.3580556,AFGSC,38101
Hulman Field,Heilman,IN,Warrick,United States,Air Force,Guard,38.157551,-87.090278,NA,18173
NG Johnson City Gray,Gray,TN,Washington,United States,Army,Guard,36.419826,-82.476535,NA,19183
NG Saint George/FMS 5B,Saint George,UT,Washington,United States,Army,Guard,37.185679,-113.609837,NA,19183
NCTS Cutler VLF Area,Cutler,ME,Washington,United States,Navy,Active,44.65758,-67.20387,NA,19183
Milwaukee Mitchell International Airport,"Milwaukee, Wisconsin",WI,Waukesha,United States,Air Force,NA,42.94722222,-87.89666667,ANG,55133
Detroit Arsenal,Detroit,MI,Wayne,United States,Army,Active,42.401388,-82.92451,NA,28153
Seymour Johnson Air Force Base,Goldsboro,NC,Wayne,United States,Air Force,Active,35.33944444,-77.96055556,ACC,28153
Hill Air Force Base,Ogden,UT,Weber,United States,Air Force,Active,41.120219,-111.989813,AFMC,49057
Sheppard Air Force Base,Wichita Falls,TX,Wichita,United States,Air Force,Active,33.98888889,-98.49194444,AETC,20203
Fort Gordon,Gordon,GA,Wilkinson,United States,Army,Active,32.881267,-83.302945,NA,13319
Joliet USARC/JTA,Joliet,IL,Will,United States,Army,Reserve,41.530628,-88.084496,NA,17197
Joliet AAP Elwood,Romeoville,IL,Will,United States,Army,Active,41.684631,-88.050503,NA,17197
NG Westminster Training Site,Westminster,VT,Windham,United States,Army,Guard,43.082635,-72.474882,NA,50025
NG Fort McClellan ARNG Tng Center,Center,AL,Winston,United States,Army,Guard,34.264543,-87.587802,NA,28159
NG Williamstown,Williamstown,WV,Wood,United States,Army,Guard,39.367796,-81.455899,NA,39173
Devens Reserve Forces Tng Area,Devens,MA,Worcester,United States,Army,Reserve,42.54364,-71.61479,NA,24047
Yakima Training Center,Yakima,WA,Yakima,United States,Army,Active,46.60453,-120.495552,NA,53077
Naval Weapons Station Yorktown,Yorktown,VA,York,United States,Navy,Active,37.230251,-76.524359,NA,42133
Beale Air Force Base,Marysville,CA,Yuba,United States,Air Force,Active,39.128035,-121.544781,ACC,6115
Yuma Proving Ground,Yuma,AZ,Yuma,United States,Army,Active,32.701461,-114.657232,NA,4027
MCAS Yuma,Yuma,AZ,Yuma,United States,Marine Corps,Active,32.701461,-114.657232,NA,4027
