Base,City,State,County,Country,Branch,Operational,Lat,Long,Major Command,FIPS
Gulfport Combat Readiness Training Center,"Gulfport, Mississippi",MS,Harrison,United States,Air Force,NA,30.40722222,-89.07,ANG,54033
CBC Gulfport MS,Gulfport,MS,Harrison,United States,Navy,Active,30.382966,-89.102426,NA,54033
Woolmarket (De Soto),Biloxi,MS,Harrison,United States,Navy,Active,30.471039,-88.971253,NA,54033
Keesler Air Force Base,Biloxi,MS,Harrison,United States,Air Force,Active,30.41138889,-88.92361111,AETC,54033
NG Gulfport AVCRAD,Gulfport,MS,Harrison,United States,Army,Guard,30.382966,-89.102426,NA,54033
Saufley Field,Felda,FL,Hendry,United States,Navy,Active,26.5398,-81.43563,NA,12051
Eglin Air Force Auxiliary Field 6,Felda,FL,Hendry,United States,Air Force,Active,26.5398,-81.43563,NA,12051
NG Knightstown,Knightstown,IN,Henry,United States,Army,Guard,39.7956,-85.52636,NA,51089
MacDill Air Force Base,Tampa,FL,Hillsborough,United States,Air Force,Active,27.84944444,-82.52111111,AMC,33011
New Boston Air Station,Manchester,NH,Hillsborough,United States,Air Force,Active,42.94222222,-71.63583333,USSF,33011
USA Field Station Kunia,Kunia,HI,Honolulu,United States,Army,Active,21.463,-158.06385,NA,15003
MCB Hawaii (Kaneohe Bay),Kaneohe,HI,Honolulu,United States,Marine Corps,Active,21.40877,-157.7899,NA,15003
Waianae Kai Military Reservation,Waianae,HI,Honolulu,United States,Army,Active,21.459675,-158.169077,NA,15003
Joint Base Pearl Harbor-Hickam,Honolulu,HI,Honolulu,United States,Air Force,Active,21.3487,-157.944,PACAF,15003
Waipahu,Waipahu,HI,Honolulu,United States,Navy,Active,21.395273,-157.996553,NA,15003
Wahiawa,Wahiawa,HI,Honolulu,United States,Navy,Active,21.5324,-158.047735,NA,15003
Pearl City Annex,Pearl City,HI,Honolulu,United States,Marine Corps,Active,21.40094,-157.96653,NA,15003
Aiea,Aiea,HI,Honolulu,United States,Navy,Active,21.39065,-157.927829,NA,15003
Pearl City,Pearl City,HI,Honolulu,United States,Navy,Active,21.40094,-157.96653,NA,15003
Fort Shafter,Fort Shafter,HI,Honolulu,United States,Army,Active,24.859832,-168.021815,NA,15003
Makaha Ridge,Waianae,HI,Honolulu,United States,Navy,Active,21.464925,-158.20213,NA,15003
Wheeler Army Airfield,Wheeler Army Airfield,HI,Honolulu,United States,Army,Active,21.475456,-158.03516,NA,15003
Kahuku Tng Area,Kahuku,HI,Honolulu,United States,Army,Active,21.68152,-157.94072,NA,15003
Honolulu,Honolulu,HI,Honolulu,United States,Navy,Active,24.859832,-168.021815,NA,15003
Schofield Barracks Military Reservation,Schofield Barracks,HI,Honolulu,United States,Army,Active,21.48676,-158.051525,NA,15003
JBPHH Pearl HAir Reserve Baseor HI,Pearl Harbor,HI,Honolulu,United States,Navy,Active,21.349028,-157.93508,NA,15003
Pupukea Paalaa Uka Mil Road,Haleiwa,HI,Honolulu,United States,Army,Active,21.645737,-158.045746,NA,15003
