Base,State,CONUS/OCONUS,Wing,Group,Unit
Offutt Air Force Base,NE,CONUS,363 ISRG,363 ISRG,20 IS
Offutt Air Force Base,NE,CONUS,557 WW,HQ,HQ
Offutt Air Force Base,NE,CONUS,557 WW,1 WXG,GR HQ
Offutt Air Force Base,NE,CONUS,557 WW,2 WXG,GR HQ
Offutt Air Force Base,NE,CONUS,557 WW,2 WXG,2 CWSS OL A
Offutt Air Force Base,NE,CONUS,557 WW,2 WXG,2 SYOS 
Offutt Air Force Base,NE,CONUS,557 WW,2 WXG,2 WS
Offutt Air Force Base,NE,CONUS,557 WW,2 WXG,2 WSS
Offutt Air Force Base,NE,CONUS,557 WW,2 WXG,16 WS 
Offutt Air Force Base,NE,CONUS,AFTAC,709 SAG,21 SURS DET 1
Offutt Air Force Base,NE,CONUS,16 AF,HQ,OL S
Osan Air Base Station,KP,OCONUS,9 RW,9 OG,5 RS
Osan Air Base Station,KP,OCONUS,70 ISRW,544 ISRG,18 IS DET 2
Osan Air Base Station,KP,OCONUS,480 ISRW,694 ISRG,GR HQ
Osan Air Base Station,KP,OCONUS,480 ISRW,694 ISRG,6 IS 
Osan Air Base Station,KP,OCONUS,480 ISRW,694 ISRG,303 IS
Osan Air Base Station,KP,OCONUS,480 ISRW,694 ISRG,694 ISS 
Osan Air Base Station,KP,OCONUS,AFTAC,709 SPTG,709 TMXS DET 403
Patrick Space Force Base,FL,CONUS,AFTAC,HQ,HQ
Patrick Space Force Base,FL,CONUS,AFTAC,HQ,OL PG
Patrick Space Force Base,FL,CONUS,AFTAC,709 SAG,GR HQ
Patrick Space Force Base,FL,CONUS,AFTAC,709 SAG,21 SURS
Patrick Space Force Base,FL,CONUS,AFTAC,709 SAG,22 SURS
Patrick Space Force Base,FL,CONUS,AFTAC,709 SAG,23 ANS 
Patrick Space Force Base,FL,CONUS,AFTAC,709 SAG,24 ANS
Patrick Space Force Base,FL,CONUS,AFTAC,709 SAG,USAF RADCHEM LAB OL GT
Patrick Space Force Base,FL,CONUS,AFTAC,709 SPTG,GR HQ
Patrick Space Force Base,FL,CONUS,AFTAC,709 SPTG,DET 1 
Patrick Space Force Base,FL,CONUS,AFTAC,709 SPTG,709 CYS 
Patrick Space Force Base,FL,CONUS,AFTAC,709 SPTG,709 SPTS
Patrick Space Force Base,FL,CONUS,AFTAC,709 SPTG,709 TMXS
Pentagon,VA,CONUS,70 ISRW,691 ISRG,22 IS OL FD
Pentagon,VA,CONUS,AFTAC,HQ,OL EH
Peterson Space Force Base,CO,CONUS,70 ISRW,543 ISRG,93 IS OL B
Peterson Space Force Base,CO,CONUS,70 ISRW,544 ISRG,GR HQ
Peterson Space Force Base,CO,CONUS,70 ISRW,544 ISRG,18 IS DET 1 
Peterson Space Force Base,CO,CONUS,557 WW,2 WXG,2 WSS OL A 
Peterson Space Force Base,CO,CONUS,688 CW,690 COG,561 NOS 
Ramstein Air Base Station,DE,OCONUS,480 ISRW,693 ISRG,GR HQ
Ramstein Air Base Station,DE,OCONUS,480 ISRW,693 ISRG,24 IS 
Ramstein Air Base Station,DE,OCONUS,480 ISRW,693 ISRG,450 IS
Ramstein Air Base Station,DE,OCONUS,480 ISRW,693 ISRG,693 ISS 
Ramstein Air Base Station,DE,OCONUS,688 CW,690 COG,691 COS
Ramstein Air Base Station,DE,OCONUS,AFTAC,709 SPTG,709 TMXS DET 319 
Robins Air Force Base,GA,CONUS,688 CW,5 CCG,GR HQ
Robins Air Force Base,GA,CONUS,688 CW,5 CCG,5 CBCSS
Robins Air Force Base,GA,CONUS,688 CW,5 CCG,51 CBCS 
Robins Air Force Base,GA,CONUS,688 CW,5 CCG,52 CBCS
Rosecrans Memorial Airport,MO,CONUS,70 ISRW,691 ISRG,22 IS OL DX
San Antonio City ,TX,CONUS,67 CW,67 COG,390 COS
San Antonio City ,TX,CONUS,688 CW,690 COG,690 NSS
San Antonio City ,TX,CONUS,16 AF,HQ,DET 2
Scott Air Force Base,IL,CONUS,67 CW,567 COG,GR HQ
Scott Air Force Base,IL,CONUS,67 CW,567 COG,835 COS
Scott Air Force Base,IL,CONUS,67 CW,567 COG,837 COS
Scott Air Force Base,IL,CONUS,70 ISRW,691 ISRG,22 IS OL AM 
Scott Air Force Base,IL,CONUS,70 ISRW,691 ISRG,22 IS OL FP
Scott Air Force Base,IL,CONUS,557 WW,1 WXG,15 OWS
Scott Air Force Base,IL,CONUS,688 CW,690 COG,561 NOS DET 3
Scott Air Force Base,IL,CONUS,16 AF,HQ,OL T
Seoul Air Base Station,KP,OCONUS,480 ISRW,694 ISRG,303 IS DET 1  OL A 
Shaw Air Force Base,SC,CONUS,363 ISRG,365 ISRG,51 IS 
Shaw Air Force Base,SC,CONUS,557 WW,1 WXG,28 OWS
Sigonella Naval Air Station,IT,OCONUS,319 RW,319 OG,7 RS
Souda Bay ,GR,OCONUS,55 WG,55 OG,95 RS DET 1
Stuttgart US Army Garrison,DE,OCONUS,480 ISRW,693 ISRG,485 IS OL FF
Stuttgart US Army Garrison,DE,OCONUS,16 AF,HQ,OL E
Suffolk City ,VA,CONUS,70 ISRW,HQ,70 OSS OL A OL 
Tinker Air Force Base,OK,CONUS,688 CW,38 CEIG,GR HQ
Tinker Air Force Base,OK,CONUS,688 CW,38 CEIG,38 CONS OL A
Tinker Air Force Base,OK,CONUS,688 CW,38 CEIG,38 ES 
Tinker Air Force Base,OK,CONUS,688 CW,38 CEIG,38 OSS
Tyndall Air Force Base,FL,CONUS,70 ISRW,543 ISRG,93 IS OL NT3
Will Rogers World Airport Moved to Tinker AFB in 2007[163],OK,CONUS,363 ISRG,361 ISRG,OL D
Will Rogers World Airport Moved to Tinker AFB in 2007[163],OK,CONUS,363 ISRG,361 ISRG,306 IS 
Wright-Patterson Air Force Base,OH,CONUS,70 ISRW,544 ISRG,18 IS 
Wright-Patterson Air Force Base,OH,CONUS,688 CW,690 COG,83 NOS OL A 
Wright-Patterson Air Force Base,OH,CONUS,16 AF,HQ,DET 1 OL SA
Wright-Patterson Air Force Base,OH,CONUS,16 AF,HQ,616 ACOMS OL A
Yokota Air Force Base,JP,OCONUS,70 ISRW,373 ISRG,DET 1
Yokota Air Force Base,JP,OCONUS,363 ISRG,361 ISRG,43 IS DET 1  OL A
Yokota Air Force Base,JP,OCONUS,AFTAC,709 SPTG,709 TMXS DET 402
Yongsan ,KP,OCONUS,480 ISRW,694 ISRG,303 IS DET 1
